YEAR,WIN_PCT,FGA,FG_PCT,FG3A,FG3_PCT,FT_PCT,REB,AST,PF,STL,BLK,PTS
1948-49,0.75,0.0,0.0,0.0,0.0,0.723,0.0,20.98333333333333,28.7,0.0,0.0,84.03333333333333
1949-50,0.797,0.0,0.0,0.0,0.0,0.741,0.0,23.015625,32.140625,0.0,0.0,84.828125
1950-51,0.647,0.0,0.0,0.0,0.0,0.763,0.0,23.5,30.764705882352946,0.0,0.0,86.06060606060606
1951-52,0.621,0.0,0.0,0.0,0.0,0.773,0.0,24.33333333333333,29.848484848484848,0.0,0.0,91.3181818181818
1952-53,0.686,0.0,0.0,0.0,0.0,0.745,0.0,23.464788732394368,31.571428571428573,0.0,0.0,88.14084507042253
1953-54,0.639,0.0,0.0,0.0,0.0,0.731,0.0,24.625,27.34722222222222,0.0,0.0,87.70833333333333
1954-55,0.597,0.0,0.0,0.0,0.0,0.776,0.0,26.45833333333333,26.875,0.0,0.0,101.45833333333331
1955-56,0.625,0.0,0.0,0.0,0.0,0.786,0.0,26.194444444444443,27.63888888888889,0.0,0.0,106.0
1956-57,0.611,0.0,0.0,0.0,0.0,0.794,0.0,20.375,26.20833333333333,0.0,0.0,105.54166666666669
1957-58,0.681,0.0,0.0,0.0,0.0,0.793,0.0,21.916666666666668,27.52777777777778,0.0,0.0,112.05555555555556
1958-59,0.722,0.0,0.0,0.0,0.0,0.791,0.0,21.77777777777778,27.23611111111111,0.0,0.0,116.375
1959-60,0.787,0.0,0.0,0.0,0.0,0.791,0.0,25.08,27.96,0.0,0.0,124.49333333333334
1960-61,0.722,0.0,0.0,0.0,0.0,0.773,0.0,27.037974683544306,28.860759493670887,0.0,0.0,121.34177215189874
1961-62,0.75,0.0,0.0,0.0,0.0,0.78,0.0,26.925,29.3,0.0,0.0,125.4375
1962-63,0.725,0.0,0.0,0.0,0.0,0.782,0.0,24.5,28.4625,0.0,0.0,121.625
1963-64,0.738,0.0,0.0,0.0,0.0,0.766,0.0,23.95,28.325,0.0,0.0,114.725
1964-65,0.775,0.0,0.0,0.0,0.0,0.763,0.0,23.0375,28.5375,0.0,0.0,114.175
1965-66,0.688,0.0,0.0,0.0,0.0,0.773,0.0,24.2,27.8375,0.0,0.0,119.4625
1966-67,0.84,0.0,0.0,0.0,0.0,0.777,0.0,26.395061728395063,27.22222222222222,0.0,0.0,125.22222222222224
1967-68,0.756,0.0,0.0,0.0,0.0,0.762,0.0,26.79268292682927,28.92682926829268,0.0,0.0,122.57317073170732
1968-69,0.695,0.0,0.0,0.0,0.0,0.751,0.0,25.25609756097561,27.817073170731707,0.0,0.0,118.85365853658536
1969-70,0.732,0.0,0.0,0.0,0.0,0.786,0.0,27.0,28.29268292682927,0.0,0.0,121.92682926829268
1970-71,0.805,0.0,0.0,0.0,0.0,0.79,0.0,27.42682926829268,27.21951219512195,0.0,0.0,118.41463414634148
1971-72,0.841,0.0,0.0,0.0,0.0,0.779,0.0,27.21951219512195,26.865853658536587,0.0,0.0,120.97560975609755
1972-73,0.829,0.0,0.0,0.0,0.0,0.798,0.0,28.29268292682927,25.04878048780488,0.0,0.0,112.8048780487805
1973-74,0.72,0.0,0.0,0.0,0.0,0.812,54.29268292682927,27.134146341463413,25.890243902439025,9.71951219512195,7.963414634146342,111.64634146341464
1974-75,0.732,0.0,0.0,0.0,0.0,0.821,52.073170731707314,26.9390243902439,27.09756097560976,11.853658536585366,5.560975609756097,108.51219512195122
1975-76,0.72,0.0,0.0,0.0,0.0,0.79,52.9390243902439,26.98780487804878,26.670731707317078,11.317073170731708,6.439024390243903,109.78048780487804
1976-77,0.646,0.0,0.0,0.0,0.0,0.797,51.30487804878049,27.585365853658537,28.07317073170732,11.621951219512194,6.841463414634147,115.02439024390245
1977-78,0.707,0.0,0.0,0.0,0.0,0.804,51.41463414634146,28.51219512195122,30.121951219512194,12.914634146341465,7.695121951219512,114.7439024390244
1978-79,0.659,0.0,0.0,0.0,0.0,0.795,49.71951219512195,31.24390243902439,29.5609756097561,11.158536585365852,7.548780487804878,119.26829268292684
1979-80,0.744,0.0,0.0,0.0,0.0,0.809,49.47560975609756,29.42682926829268,27.963414634146343,11.073170731707316,7.951219512195122,119.36585365853658
1980-81,0.756,0.0,0.0,0.0,0.0,0.783,47.39024390243903,28.890243902439025,27.75609756097561,10.78048780487805,7.841463414634147,121.78048780487804
1981-82,0.768,0.0,0.0,0.0,0.0,0.796,46.21951219512195,28.73170731707317,28.76829268292683,11.195121951219512,7.585365853658536,126.47560975609755
1982-83,0.793,97.54878048780488,0.528,3.7560975609756095,0.305,0.808,47.926829268292686,30.71951219512195,29.65853658536585,11.109756097560975,8.109756097560975,123.23170731707316
